coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,liquidity_level
SwissBorg,CHSB,0.426636,-0.004,-0.002,-0.077,717426.0,407989611.0,3/17/2022,Low
Everdome,DOME,0.047881406,-0.025,0.131,0.038,59460882.0,407661797.0,3/17/2022,High
SKALE,SKL,0.123037,0.002,-0.026,-0.013,8458820.0,399524174.0,3/17/2022,Medium
Dogelon Mars,ELON,7.17e-07,0.006,-0.01,-0.035,8089301.0,395179401.0,3/17/2022,Medium
Convex CRV,CVXCRV,2.1,0.022,0.083,0.022,284039.0,394323956.0,3/17/2022,Low
Olympus,OHM,27.85,0.002,-0.005,-0.147,8810942.0,391190971.0,3/17/2022,Medium
Constellation,DAG,0.149017,-0.001,-0.02,0.125,925421.0,376819046.0,3/17/2022,Low
Immutable X,IMX,1.59,0.001,0.01,0.001,74989985.0,374143811.0,3/17/2022,High
Gemini Dollar,GUSD,0.999103,-0.001,-0.002,-0.001,2599754.0,370970338.0,3/17/2022,Low
JUST,JST,0.04998816,0.005,0.022,-0.044,46444031.0,365218776.0,3/17/2022,High
NuCypher,NU,0.423049,0.004,0.008,-0.107,4447816.0,358798163.0,3/17/2022,Medium
Polymath,POLY,0.396075,0.002,0.029,-0.047,16295087.0,356459406.0,3/17/2022,Medium
Ethereum Name Service,ENS,15.1,-0.003,0.075,0.029,130802509.0,350492086.0,3/17/2022,High
Illuvium,ILV,543.69,0.007,0.045,0.025,10973374.0,349615509.0,3/17/2022,Medium
REN,REN,0.34295,0.002,0.011,-0.153,45489119.0,343396923.0,3/17/2022,High
Decentralized Social,DESO,32.58,-0.019,-0.038,0.053,665903.0,343383679.0,3/17/2022,Low
Keep Network,KEEP,0.623793,0.001,0.023,-0.066,1863025.0,342624992.0,3/17/2022,Low
Hive,HIVE,0.921978,0.003,0.063,0.008,27492473.0,342506941.0,3/17/2022,High
Flux,FLUX,1.43,0.002,0.003,0.044,11148974.0,328526106.0,3/17/2022,Medium
Nervos Network,CKB,0.010823611,0.002,0.026,-0.025,5885924.0,326436851.0,3/17/2022,Medium
Nano,XNO,2.43,0.025,0.101,0.393,272633201.0,325248112.0,3/17/2022,High
HUSD,HUSD,0.999448,-0.001,0.0,0.0,21491124.0,321832852.0,3/17/2022,High
Lido DAO,LDO,2.9,0.016,-0.024,0.229,6548070.0,320418126.0,3/17/2022,Medium
DeFi Kingdoms,JEWEL,4.33,0.007,0.053,-0.093,13531791.0,319385783.0,3/17/2022,Medium
Ultra,UOS,1.17,0.005,0.024,-0.038,4195149.0,317369548.0,3/17/2022,Medium
Spell Token,SPELL,0.00347664,0.007,-0.02,-0.109,47028727.0,316934220.0,3/17/2022,High
Telcoin,TEL,0.00515123,0.011,0.051,-0.014,2189831.0,316916231.0,3/17/2022,Low
Syscoin,SYS,0.497339,0.019,0.062,-0.043,11664234.0,316225956.0,3/17/2022,Medium
FLEX Coin,FLEX,3.95,0.0,-0.001,0.006,1321112348.0,311501806.0,3/17/2022,High
ConstitutionDAO,PEOPLE,0.060997698,0.004,0.004,-0.055,148965778.0,309380835.0,3/17/2022,High
Kyber Network Crystal,KNC,3.01,0.01,-0.018,-0.043,19917604.0,308453415.0,3/17/2022,High
LooksRare,LOOKS,1.25,0.018,-0.028,0.099,52982527.0,306746978.0,3/17/2022,High
Tomb,TOMB,1.19,-0.004,0.015,-0.101,10836099.0,305642692.0,3/17/2022,Medium
Lisk,LSK,2.1,-0.004,0.03,-0.005,8942754.0,304232009.0,3/17/2022,Medium
DigitalBits,XDB,0.395059,-0.004,0.015,0.207,1567720.0,302184765.0,3/17/2022,Low
DigiByte,DGB,0.019936487,0.004,0.014,-0.035,12119980.0,302087064.0,3/17/2022,Medium
Persistence,XPRT,3.61,-0.001,0.091,0.07,5704698.0,298811585.0,3/17/2022,Medium
PlayDapp,PLA,0.812543,0.002,0.016,-0.028,21899896.0,295009942.0,3/17/2022,High
Tenset,10SET,3.29,0.001,0.003,0.345,2346397.0,290187601.0,3/17/2022,Low
Stargaze,STARS,0.387759,0.001,-0.035,-0.209,1422449.0,288957891.0,3/17/2022,Low
Ronin,RON,1.93,0.0,0.036,-0.039,2336649.0,285584777.0,3/17/2022,Low
Trust Wallet Token,TWT,0.81527,-0.006,0.13,0.109,26534917.0,284403138.0,3/17/2022,High
Casper Network,CSPR,0.067306582,0.014,0.062,0.037,10361454.0,280491915.0,3/17/2022,Medium
Tokemak,TOKE,24.1,0.006,-0.042,-0.118,6082833.0,280398265.0,3/17/2022,Medium
SafeMoon [OLD],SAFEMOON,5.15e-07,0.002,0.02,-0.009,879.16,277800683.0,3/17/2022,Low
Radio Caca,RACA,0.00133739,0.0,0.004,0.084,17146649.0,277127753.0,3/17/2022,Medium
Pirate Chain,ARRR,1.44,-0.003,0.003,0.221,1185789.0,275717440.0,3/17/2022,Low
SXP,SXP,1.41,0.005,0.05,0.045,68376375.0,273381975.0,3/17/2022,High
MAI,MIMATIC,1.0,0.002,0.003,0.008,5757297.0,269690665.0,3/17/2022,Medium
Floki Inu,FLOKI,2.89e-05,0.0,0.019,-0.095,7318364.0,264302676.0,3/17/2022,Medium
Injective,INJ,5.4,0.008,0.014,0.011,25990848.0,262798491.0,3/17/2022,High
Mobox,MBOX,2.11,-0.004,0.033,0.056,42594303.0,261388946.0,3/17/2022,High
MXC,MXC,0.105998,-0.005,0.017,0.169,22877952.0,258748257.0,3/17/2022,High
Everscale,EVER,0.19269,0.0,-0.014,-0.011,14939.44,258439550.0,3/17/2022,Low
Perpetual Protocol,PERP,3.95,0.004,0.023,-0.017,9229627.0,257335955.0,3/17/2022,Medium
Zenon,ZNN,5.21,0.007,-0.026,-0.114,38130.88,257245207.0,3/17/2022,Low
WINkLink,WIN,0.000265885,0.0,-0.001,-0.043,78640150.0,256027145.0,3/17/2022,High
Coin98,C98,1.37,0.003,0.023,0.036,32845038.0,254083272.0,3/17/2022,High
WazirX,WRX,0.55677,-0.001,-0.002,-0.123,6363664.0,254078525.0,3/17/2022,Medium
Serum,SRM,1.9,0.005,0.018,-0.016,28934537.0,253353070.0,3/17/2022,High
Lido Staked SOL,STSOL,93.27,0.014,0.064,0.028,4306699.0,252733440.0,3/17/2022,Medium
Zipmex Token,ZMT,2.84,-0.002,0.018,0.003,14507743.0,252612673.0,3/17/2022,Medium
Mirror Protocol,MIR,1.71,0.005,0.004,-0.169,49984848.0,248849118.0,3/17/2022,High
Creditcoin,CTC,1.17,-0.001,0.032,0.02,3120629.0,242723178.0,3/17/2022,Low
Tribe,TRIBE,0.531679,-0.005,-0.021,-0.041,8080240.0,242034097.0,3/17/2022,Medium
VVS Finance,VVS,2.2e-05,0.0,-0.013,-0.129,2778953.0,236041817.0,3/17/2022,Low
Metahero,HERO,0.04469741,-0.005,-0.01,-0.13,7788330.0,234727576.0,3/17/2022,Medium
Yield Guild Games,YGG,2.65,0.022,0.096,-0.013,32498566.0,232020727.0,3/17/2022,High
Function X,FX,0.490287,-0.008,0.003,-0.025,2789713.0,230355668.0,3/17/2022,Low
API3,API3,4.64,0.003,-0.012,-0.146,30688251.0,230330587.0,3/17/2022,High
Dent,DENT,0.002405588,-0.002,0.023,-0.042,15366549.0,230289059.0,3/17/2022,Medium
Raydium,RAY,2.52,0.006,0.004,-0.01,20578926.0,229551472.0,3/17/2022,High
Fetch.ai,FET,0.333007,0.01,0.016,-0.06,18218920.0,229348461.0,3/17/2022,Medium
Escoin Token,ELG,3.31,0.005,-0.015,0.017,724098.0,228752259.0,3/17/2022,Low
Euro Tether,EURT,1.11,0.0,0.006,0.003,14717552.0,228389194.0,3/17/2022,Medium
CoinEx Token,CET,0.061140663,-0.001,0.0,0.049,525677.0,227207627.0,3/17/2022,Low
Astroport,ASTRO,1.81,-0.002,-0.104,0.095,8759702.0,227045274.0,3/17/2022,Medium
Chromia,CHR,0.399507,0.001,0.053,0.02,58264434.0,226830657.0,3/17/2022,High
Chia,XCH,65.99,-0.003,0.015,-0.077,9082334.0,225459171.0,3/17/2022,Medium
xSUSHI,XSUSHI,4.02,0.012,0.058,0.022,255785.0,225344906.0,3/17/2022,Low
Cratos,CRTS,0.003236528,0.003,0.099,-0.027,16517737.0,223198961.0,3/17/2022,Medium
Status,SNT,0.057335511,-0.002,0.01,-0.086,8733449.0,222865089.0,3/17/2022,Medium
Telos,TLOS,0.858613,0.001,0.046,-0.059,3788138.0,222068806.0,3/17/2022,Medium
Power Ledger,POWR,0.511559,0.002,0.013,-0.04,31170583.0,219951909.0,3/17/2022,High
Astar,ASTR,0.107755,-0.001,0.044,0.027,8916820.0,218062741.0,3/17/2022,Medium
Medibloc,MED,0.040421543,0.001,0.007,-0.013,4569259.0,217275804.0,3/17/2022,Medium
Celer Network,CELR,0.038316853,0.009,0.036,-0.038,29766536.0,216429137.0,3/17/2022,High
COTI,COTI,0.204755,0.001,0.016,-0.032,12162479.0,215079506.0,3/17/2022,Medium
Vulcan Forged,PYR,8.9,0.001,0.023,-0.096,20305571.0,212825987.0,3/17/2022,High
Dopex,DPX,1173.9,0.007,0.042,0.007,3078417.0,211922629.0,3/17/2022,Low
Energy Web Token,EWT,5.03,0.0,0.025,-0.02,1278646.0,211101992.0,3/17/2022,Low
PLEX,PLEX,0.857492,0.024,0.05,0.142,14908002.0,210041737.0,3/17/2022,Medium
Orbs,ORBS,0.072277991,-0.001,0.001,-0.008,5313234.0,209383845.0,3/17/2022,Medium
Alchemix USD,ALUSD,0.998794,0.0,0.0,0.001,142769.0,208931720.0,3/17/2022,Low
XYO Network,XYO,0.016424294,0.0,0.005,-0.055,4920583.0,204717393.0,3/17/2022,Medium
Boba Network,BOBA,1.28,0.005,0.058,0.162,7605916.0,204133364.0,3/17/2022,Medium
Ocean Protocol,OCEAN,0.465948,0.001,-0.007,0.007,13125747.0,202260490.0,3/17/2022,Medium
Unibright,UBT,1.34,0.0,0.135,0.74,1513662.0,201738743.0,3/17/2022,Low
Mdex,MDX,0.231902,0.001,0.037,0.043,10470382.0,200934743.0,3/17/2022,Medium
LUKSO Token,LYXE,13.11,-0.002,0.007,-0.051,2438281.0,199459617.0,3/17/2022,Low
Mask Network,MASK,4.21,0.002,0.043,-0.01,72687776.0,198784023.0,3/17/2022,High
DAO Maker,DAO,2.19,0.005,0.005,-0.051,2620710.0,198134048.0,3/17/2022,Low
Origin Protocol,OGN,0.41561,-0.013,-0.043,0.488,103519781.0,197701631.0,3/17/2022,High
UFO Gaming,UFO,7.57e-06,0.007,0.005,-0.056,5528279.0,194844243.0,3/17/2022,Medium
Ardor,ARDR,0.194427,-0.004,0.008,-0.043,5019344.0,194331101.0,3/17/2022,Medium
Pundi X,PUNDIX,0.745885,0.0,0.008,-0.049,4093358.0,192900544.0,3/17/2022,Medium
Civic,CVC,0.28617,-0.001,0.067,0.044,61814649.0,192055742.0,3/17/2022,High
GMX,GMX,25.47,0.003,0.119,0.014,3169278.0,190389663.0,3/17/2022,Low
Interest Bearing Bitcoin,IBBTC,40853.81,0.006,0.016,-0.0005,8343005.0,189800862.0,3/17/2022,Medium
Kyber Network Crystal Legacy,KNCL,3.03,0.015,-0.011,-0.032,82195466.0,187322633.0,3/17/2022,High
MX Token,MX,1.87,-0.001,0.006,-0.005,374184.0,186909022.0,3/17/2022,Low
Coinmetro,XCM,0.613238,0.003,0.006,-0.024,36444.53,185482862.0,3/17/2022,Low
