coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
GPEX,GPX,3.83,0.006,0.002,-0.072,179427,144648026,3/16/2022
StarLink,STARL,1.44E-05,0.045,0.022,-0.004,13867876,143867182,3/16/2022
Pundi X [OLD],NPXS,0.000600992,0,-0.015,-0.128,0,142146180,3/16/2022
Acala,ACA,1.1,0.035,0.022,0.018,13275096,140584940,3/16/2022
Orchid Protocol,OXT,0.237795,0.021,0,0.066,12106980,139760673,3/16/2022
Beta Finance,BETA,0.387492,0.019,0.012,-0.072,18604900,138948965,3/16/2022
Ark,ARK,0.834377,0.007,0.017,-0.028,2749604,137522294,3/16/2022
STASIS EURO,EURS,1.1,0.006,0.008,0.014,4643750,136959838,3/16/2022
Magic,MAGIC,2.78,0.069,0.283,0.004,7430205,136718105,3/16/2022
Keep3rV1,KP3R,360.63,0.007,0.022,0.006,22218089,135437476,3/16/2022
Polkastarter,POLS,1.54,0.03,-0.012,0.31,200132514,135061007,3/16/2022
Hxro,HXRO,0.305377,0.008,0.014,-0.062,133516,133894630,3/16/2022
flexUSD,FLEXUSD,1.01,0.001,0,0.004,179309,132954034,3/16/2022
Bezoge Earth,BEZOGE,3.05E-09,0.012,-0.005,-0.041,189402,132913608,3/16/2022
MaidSafeCoin,MAID,0.29492,0.023,0.01,0.045,3041.72,132775927,3/16/2022
Prometeus,PROM,7.96,0.017,0.008,0.015,1069360,130200675,3/16/2022
Iron Bank EURO,IBEUR,1.08,0,-0.004,0.009,95258.1,130044220,3/16/2022
Metadium,META,0.076908862,0.007,-0.036,0.046,32828560,129878030,3/16/2022
Sperax,SPA,0.166557,0.008,-0.017,-0.021,464074,129752776,3/16/2022
iExec RLC,RLC,1.81,0.019,0.057,0.075,6449965,129524554,3/16/2022
DUSK Network,DUSK,0.325281,0.021,-0.046,-0.038,27805515,129420731,3/16/2022
DEAPCOIN,DEP,0.027606423,0.004,-0.009,-0.133,5292541,128916638,3/16/2022
StormX,STMX,0.013991864,0.025,0.022,0.003,2316593,128800635,3/16/2022
RMRK,RMRK,13.65,0.03,0.044,0.006,4743523,128405686,3/16/2022
Qredo,QRDO,2.55,0.035,0.134,0.089,23819831,126060547,3/16/2022
Stratis,STRAX,0.931273,0.015,0.026,-0.014,3193483,125656753,3/16/2022
STP Network,STPT,0.085865789,0.007,0.006,-0.041,11751380,125461512,3/16/2022
Steem,STEEM,0.315524,0.013,0.01,0.009,6019119,124507907,3/16/2022
Alpha Finance,ALPHA,0.279294,0.018,0.054,0.021,7405255,124373230,3/16/2022
NKN,NKN,0.192439,0.03,0.078,0.064,9196680,124009174,3/16/2022
RSK Infrastructure Framework,RIF,0.150149,0.017,0.032,0.007,1193005,123524355,3/16/2022
Balancer,BAL,11.45,0.028,0.022,0.01,24421512,123217404,3/16/2022
Dawn Protocol,DAWN,1.7,0.016,0.023,0.033,2418035,122765002,3/16/2022
GXChain,GXC,1.64,0.021,-0.008,-0.019,11166637,122187268,3/16/2022
Sun Token,SUN,0.011599572,0.012,0.013,0.02,35127631,121791772,3/16/2022
Dero,DERO,10.86,0.034,0.015,-0.141,810741,120268451,3/16/2022
Kirobo,KIRO,0.126408,0.019,0.019,-0.074,30233.26,119964465,3/16/2022
Alien Worlds,TLM,0.09654588,0.036,0.039,-0.002,44383919,119120382,3/16/2022
Strike,STRK,37.95,0.007,0.014,-0.031,9721665,118658676,3/16/2022
Aavegotchi,GHST,1.95,0.007,0.008,0.017,28297857,117328055,3/16/2022
Victoria VR,VR,0.144477,0.051,-0.003,0.032,7068380,117291824,3/16/2022
Ankr Reward-Bearing Staked ETH,AETHC,2196.39,0.021,0.002,-0.02,1309490,116894099,3/16/2022
Decentral Games,DG,0.306293,0.005,0.002,0.003,854759,116422219,3/16/2022
Meerkat Shares,MSHARE,12965.17,0.013,0.03,0.922,8304162,115928010,3/16/2022
FUNToken,FUN,0.010933267,0.012,-0.004,-0.011,853332,115804492,3/16/2022
THORChain (ERC20),RUNE,7.15,0.07,-0.07,0.762,1838591,115794807,3/16/2022
TrueFi,TRU,0.180166,0.025,-0.008,0.069,9656824,115725924,3/16/2022
agEUR,AGEUR,1.1,0.003,0.003,0.011,3811883,115711833,3/16/2022
sETH2,SETH2,2740.47,0.027,0.035,0.068,19698.74,114815124,3/16/2022
Maple,MPL,25.38,-0.005,-0.019,0.154,3006803,114666914,3/16/2022
Spookyswap,BOO,12.83,0.028,-0.028,-0.109,5125254,114555634,3/16/2022
AIOZ Network,AIOZ,0.237396,0.047,0.287,0.241,13715452,114207956,3/16/2022
Tomb Shares,TSHARE,2920.47,0.043,0.077,-0.351,10610367,113643147,3/16/2022
Beefy.Finance,BIFI,1455.73,0.012,0.047,-0.059,1429792,112999254,3/16/2022
TitanSwap,TITAN,1.13,0,-0.002,-0.072,24704.16,112504097,3/16/2022
Phantasma,SOUL,1.08,0.028,0.13,-0.024,2762350,112079479,3/16/2022
Tornado Cash,TORN,47.91,0.023,0.006,-0.071,10096292,111960444,3/16/2022
Alchemix,ALCX,95.14,0.028,-0.042,-0.125,8581305,111651916,3/16/2022
DODO,DODO,0.391699,0.033,0.064,0,53854854,111498427,3/16/2022
Hoo Token,HOO,1.34,-0.002,0.049,-0.014,8376366,111488236,3/16/2022
BTC Standard Hashrate Token,BTCST,15.38,0.032,0.022,-0.08,10770376,110711281,3/16/2022
KardiaChain,KAI,0.03310605,0.005,0.012,0.092,3633167,110596002,3/16/2022
Klever,KLV,0.021137783,0.027,0.034,0.054,4429411,109983784,3/16/2022
Orion Protocol,ORN,3.13,0.066,0.069,0.022,10611478,108618470,3/16/2022
BENQI Liquid Staked AVAX,SAVAX,73.3,0.035,0.036,0.003,232010,108588792,3/16/2022
PlatON Network,LAT,0.045411075,0.011,0.01,-0.058,4190176,108434635,3/16/2022
Hathor,HTR,0.479597,0.052,0.047,0.025,3389005,108345431,3/16/2022
Kava Swap,SWP,1.81,-0.009,-0.013,0.02,1850449,107989085,3/16/2022
Proton,XPR,0.01097843,0.022,-0.02,-0.067,4912504,107238670,3/16/2022
Utrust,UTK,0.233365,0.018,-0.011,-0.007,6103029,107165105,3/16/2022
Regen,REGEN,0.862787,0.018,0.036,0.002,113190,106505797,3/16/2022
My Neighbor Alice,ALICE,6.07,0.032,0.057,-0.002,99300009,105126141,3/16/2022
BakerySwap,BAKE,0.548429,0.027,0.033,-0.005,11013168,104901896,3/16/2022
QuarkChain,QKC,0.015632618,0.009,0.006,-0.019,2276212,103653419,3/16/2022
Hydra,HYDRA,8.93,0.005,-0.089,-0.004,444955,103576699,3/16/2022
TomoChain,TOMO,1.17,0.02,0.046,0.039,5201034,103142455,3/16/2022
Pylon Protocol,MINE,0.053553942,0.011,0.046,0.093,1026416,102790559,3/16/2022
Ellipsis,EPS,0.164725,0.014,0.036,0.042,8159278,102630468,3/16/2022
Venus,XVS,8.52,0.017,0.007,-0.011,7769662,102446263,3/16/2022
Railgun,RAIL,1.78,0.013,0.056,-0.041,448935,102343090,3/16/2022
Seedify.fund,SFUND,4.33,0.016,0.033,-0.161,3442729,102337446,3/16/2022
Hermez Network,HEZ,6.09,0.009,0.003,0.014,105821,102164945,3/16/2022
Alpine F1 Team Fan Token,ALPINE,8.76,0.003,0.049,1.718,153521893,99922202,3/16/2022
ICHI,ICHI,22.69,0.023,0.049,0.133,910181,99403281,3/16/2022
JasmyCoin,JASMY,0.021231711,0.005,0.253,0.913,480261670,99367227,3/16/2022
CRYPTO20,C20,2.94,0.006,-0.047,-0.011,53097.41,98979226,3/16/2022
Decentral Games Governance,XDG,0.32163,0.01,0.013,0.002,121569,98858963,3/16/2022
Metal,MTL,1.52,0.024,0.029,-0.007,12492929,98095635,3/16/2022
Wilder World,WILD,1.17,0.065,-0.002,-0.127,4735954,97124495,3/16/2022
Wrapped Centrifuge,WCFG,0.486023,0.004,0.021,-0.008,1702240,97035126,3/16/2022
Bitcoin Diamond,BCD,0.515751,0.008,0.025,-0.016,823683,96592411,3/16/2022
cBAT,CBAT,0.013887823,,,,,96585801,3/16/2022
sUSD,SUSD,0.995877,-0.001,0.001,-0.002,8450530,95584478,3/16/2022
sETH,SETH,2732.47,0.025,0.034,0.065,5049393,95094991,3/16/2022
Bounce,AUCTION,13.1,0.016,0.018,0.027,1741028,94296802,3/16/2022
Augur,REP,13.43,0.019,0.02,-0.015,7904878,93213520,3/16/2022
Verasity,VRA,0.020985885,0.048,0.056,0.009,58902495,92248152,3/16/2022
Neutrino System Base Token,NSBT,36.47,0.014,0.09,0.349,365249,92043237,3/16/2022
Platypus Finance,PTP,4.82,0.045,-0.049,-0.153,2928863,91532885,3/16/2022
Ampleforth,AMPL,1.12,0.019,0.146,0.235,9846521,91484573,3/16/2022
Wanchain,WAN,0.473501,0.018,0.01,-0.024,7300330,91110234,3/16/2022
IDEX,IDEX,0.142817,0.013,-0.002,-0.018,22972045,90978713,3/16/2022
Dopex Rebate Token,RDPX,101.45,0.056,0.04,0.113,3498225,90554011,3/16/2022
Everipedia,IQ,0.00900614,0.007,0.031,0.022,3388475,89718345,3/16/2022
ZoidPay,ZPAY,0.309582,0.037,0.049,0.32,200162,89683955,3/16/2022
Electroneum,ETN,0.005086663,0.017,0.026,-0.017,176858,89440714,3/16/2022
KeeperDAO,ROOK,108.14,0.005,0.022,-0.001,420336,87457228,3/16/2022
cUNI,CUNI,0.177688,0.001,0.008,0,818771,86960205,3/16/2022
Dvision Network,DVI,0.348705,0.011,0.045,-0.169,893982,85948342,3/16/2022
AllianceBlock,ALBT,0.222035,0.025,0.075,0.046,594392,85612394,3/16/2022
Bonfida,FIDA,1.61,0.02,0.007,-0.114,4391814,85251644,3/16/2022
Adventure Gold,AGLD,1.1,-0.002,0.189,0.098,57235927,85075417,3/16/2022
Avalaunch,XAVA,3.78,0.029,0.032,-0.022,709787,84389747,3/16/2022
HUNT,HUNT,0.769839,0.005,0.044,-0.032,72974143,83873286,3/16/2022
Automata,ATA,0.367835,0.031,0.041,0.035,10518480,83514063,3/16/2022
Banana,BANANA,18.71,0.016,-0.141,0.708,550846,83416764,3/16/2022
chrono.tech,TIME,118.16,0.023,0.036,-0.147,295233,83232136,3/16/2022
Celo Dollar,CUSD,0.999208,0.003,0.005,0.001,770929,82951206,3/16/2022
CertiK,CTK,1.18,0.016,0.04,0.04,7896532,82919242,3/16/2022
Adshares,ADS,3.46,0.014,0.063,0.329,1223986,82839334,3/16/2022
DFI.money,YFII,2051.79,0.022,0.086,0.104,16874472,81618922,3/16/2022
Gains Farm,GFARM2,2267.65,0.013,0.033,0.036,133497,81067367,3/16/2022
Gitcoin,GTC,5.67,0.04,0.06,-0.005,13047215,80324424,3/16/2022
Biswap,BSW,0.357696,0.019,0.042,0.149,5174312,80023062,3/16/2022
Clover Finance,CLV,0.305749,0.02,0.01,-0.016,8210647,79586374,3/16/2022
SafePal,SFP,0.733022,0.027,0.023,-0.039,14792090,78755589,3/16/2022
Enzyme,MLN,53.93,0.02,0.02,0.046,7197240,78254927,3/16/2022
Crabada,CRA,0.908045,0.047,0.106,0.031,2532869,78203679,3/16/2022
Covalent,CQT,0.308264,0.022,-0.039,-0.147,4464667,78070115,3/16/2022
Aergo,AERGO,0.216541,0.011,0.003,-0.14,8958942,78030243,3/16/2022
Nerve Finance,NRV,0.017464923,0.001,-0.028,-0.087,37129.53,77747624,3/16/2022
Swarm,BZZ,1.2,0.013,0.049,-0.008,1500542,77516525,3/16/2022
BENQI,QI,0.049616183,0.036,0.011,-0.023,9851172,77090931,3/16/2022
Somnium Space CUBEs,CUBE,5.9,0.024,0.055,0.114,223101,76435550,3/16/2022
Rai Reflex Index,RAI,3.03,0.001,-0.001,0.003,1012855,76393616,3/16/2022
PEAKDEFI,PEAK,0.056409522,0.004,0.007,-0.175,51980.14,76293156,3/16/2022
Propy,PRO,1.31,0.021,-0.039,-0.189,1379488,76264908,3/16/2022
Aurory,AURY,8.02,0.006,0.002,-0.008,1527291,76264310,3/16/2022
mStable USD,MUSD,0.999331,0.001,0.003,0,207110,75247445,3/16/2022
bZx Protocol,BZRX,0.177963,0.022,0.427,0.48,16.65,74186632,3/16/2022
ShapeShift FOX Token,FOX,0.273188,0.014,0.001,-0.005,593740,73980085,3/16/2022
SingularityNET,AGIX,0.084142124,0.026,-0.003,-0.036,868150,73918145,3/16/2022
Handshake,HNS,0.156275,0.019,-0.054,-0.108,197146,73747459,3/16/2022
Kin,KIN,4.11E-05,-0.022,0.094,-0.008,1152459,73595419,3/16/2022
RIZON,ATOLO,0.035663494,0.046,0.023,-0.016,331202,72989274,3/16/2022
Vader Protocol,VADER,0.014381539,-0.039,-0.096,-0.337,1480880,72963217,3/16/2022
DeFi Pulse Index,DPI,155.37,0.029,0.042,0.054,207236,72755648,3/16/2022
Sai,SAI,1,,,,,72643253,3/16/2022
Sovryn,SOV,3.43,0.006,-0.007,-0.071,406765,72604865,3/16/2022
Badger DAO,BADGER,7.32,0.024,0.027,-0.006,4125819,72581913,3/16/2022
TempleDAO,TEMPLE,0.666697,0.021,-0.003,-0.025,1492924,71996496,3/16/2022
Wrapped NXM,WNXM,26.65,0.027,0.024,0.005,3964149,70945266,3/16/2022
Hifi Finance,MFT,0.007556118,0.011,-0.054,0.052,58152200,70736052,3/16/2022
Dock,DOCK,0.033479548,0.024,-0.002,0,3240870,70448413,3/16/2022
Sifchain,EROWAN,0.091107956,0.026,-0.024,-0.023,3841586,70322023,3/16/2022
Retreeb,TREEB,0.225841,0.035,0.137,0.07,905540,70125336,3/16/2022
Presearch,PRE,0.179852,0.022,-0.042,0,598873,70111160,3/16/2022
PlatonCoin,PLTC,0.640304,-0.001,0.019,0.126,280435,69590558,3/16/2022
Aave [OLD],LEND,1.36,0.026,0.08,0.038,5128.17,69502548,3/16/2022
ShareToken,SHR,0.007189378,0.013,-0.046,-0.138,221837,69453171,3/16/2022
Circuits of Value,COVAL,0.038262751,-0.001,0.035,-0.038,601191,69008937,3/16/2022
Travala.com,AVA,1.33,0.018,0.021,0.051,3953320,68723455,3/16/2022
Redacted Cartel,BTRFLY,114.27,0.009,0.004,-0.204,580990,68675140,3/16/2022
IRISnet,IRIS,0.055724268,0.022,-0.008,-0.027,6277598,68613799,3/16/2022
ChainX,PCX,1.77,0.054,0.172,0.078,445046,68530128,3/16/2022
Index Coop - ETH 2x Flexible Leverage Index,ETH2X-FLI,66.16,0.049,0.06,0.119,2344685,68519516,3/16/2022
cVault.finance,CORE,6768.4,0.016,0.031,0.004,295513,68514733,3/16/2022
ThunderCore,TT,0.007869638,0.006,-0.003,0.018,13601229,67862398,3/16/2022
OpenDAO,SOS,1.71E-06,0.03,0.053,-0.09,14382323,67555662,3/16/2022
Carry,CRE,0.007639549,0.014,-0.023,-0.001,15140717,66948840,3/16/2022
ARPA Chain,ARPA,0.068515692,0.028,0.026,-0.008,14838311,66892485,3/16/2022
GuildFi,GF,1.54,0.005,0.007,0.041,7298293,66370610,3/16/2022
EverRise,RISE,0.000950734,0.013,0.081,0.03,423218,66340451,3/16/2022
SuperRare,RARE,0.458127,0.018,0.029,0.029,16421385,66264262,3/16/2022
Oxygen,OXY,0.325739,0.015,0.001,0.084,464624,65770433,3/16/2022
